2020-07-16 13:42:57.843 [DEBU] [  3 ms] SHOW TABLES
2020-07-16 13:42:57.847 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-16 13:42:57.851 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-16 13:42:57.854 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `jwts`
2020-07-16 14:26:55.522 [DEBU] [  2 ms] SHOW TABLES
2020-07-16 14:26:55.523 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-16 14:26:55.528 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-16 14:26:55.532 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `casbin_rule`
2020-07-16 14:26:55.535 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `jwts`
2020-07-16 14:27:42.158 [DEBU] [  2 ms] SHOW TABLES
2020-07-16 14:27:42.159 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-16 14:27:42.161 [DEBU] [  0 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-16 14:27:42.163 [DEBU] [  0 ms] SHOW FULL COLUMNS FROM `jwts`
2020-07-16 14:27:42.166 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `rules`
